inchikey,chembl_id,in_chembl,has_bioactivity,bioactivity_count,has_antiviral,antiviral_count,has_dengue_relevant,dengue_relevant_count,has_flavivirus_relevant,flavivirus_relevant_count,best_antiviral_ic50_nM,best_antiviral_target,best_pchembl,activity_categories,unique_targets,unique_assays
AAOVKJBEBIDNHE-UHFFFAOYSA-N,CHEMBL12,True,True,3784,True,22,False,0,False,0,19952.62,SARS-CoV-2,9.05,anti_inflammatory|antimicrobial|antioxidant|antiviral|cytotoxicity,261,1780
AAWZDTNXLSGCEK-WVEQISQRSA-N,,False,False,0,False,0,False,0,False,0,,,,,0,0
ABLJJFBJJTYMSL-PDQUOMEKSA-N,,False,False,0,False,0,False,0,False,0,,,,,0,0
ABLPGPHZENVRRH-ZFWWWQNUSA-N,,False,False,0,False,0,False,0,False,0,,,,,0,0
ABORBIAHEXNJQM-UUVHQNCVSA-O,,False,False,0,False,0,False,0,False,0,,,,,0,0
ABSDACFLIMOXJY-MRXNPFEDSA-O,,False,False,0,False,0,False,0,False,0,,,,,0,0
ABVCUBUIXWJYSE-CWVBCOCOSA-O,,False,False,0,False,0,False,0,False,0,,,,,0,0
ACCJIJJOPXNXTB-YGMBCQGGSA-N,,False,False,0,False,0,False,0,False,0,,,,,0,0
ACXNWFRSEGWJGF-GVJJLUTMSA-N,,False,False,0,False,0,False,0,False,0,,,,,0,0
ACZGXHWMDDHKRQ-PMACEKPBSA-N,,False,False,0,False,0,False,0,False,0,,,,,0,0
ADFOLUXMYYCTRR-KBPBESRZSA-N,CHEMBL3810128,True,True,19,False,0,False,0,False,0,,,4.75,antimicrobial|cytotoxicity,12,19
ADIDQIZBYUABQK-UPJWGTAASA-N,,False,False,0,False,0,False,0,False,0,,,,,0,0
ADNCDMHZHONBRR-UHFFFAOYSA-N,CHEMBL521934,True,True,73,False,0,False,0,False,0,,,4.83,anti_inflammatory|antioxidant|cytotoxicity,67,72
AECDEEAQXMHYHE-AAWIKGOXSA-N,,False,False,0,False,0,False,0,False,0,,,,,0,0
AEFVITZAYCULNV-UHFFFAOYSA-N,,False,False,0,False,0,False,0,False,0,,,,,0,0
AEJPZVZJLAWSDL-FPPMGGKGSA-N,CHEMBL524465,True,True,2,False,0,False,0,False,0,,,,cytotoxicity,2,2
AEKPZNDJHWFONI-IBGZPJMESA-N,,False,False,0,False,0,False,0,False,0,,,,,0,0
AEKUHSZDYHCQSS-VURMTFLWSA-N,,False,False,0,False,0,False,0,False,0,,,,,0,0
AEMHOASRMDNCLT-GBEIWHMFSA-N,,False,False,0,False,0,False,0,False,0,,,,,0,0
AETACSMBICRTEP-QGJAPQDVSA-N,,False,False,0,False,0,False,0,False,0,,,,,0,0
AEURCGYCQQYILP-RPZLJYRGSA-N,,False,False,0,False,0,False,0,False,0,,,,,0,0
AFISAWGAPBROEZ-NXBWRCJVSA-N,,False,False,0,False,0,False,0,False,0,,,,,0,0
AFKUSTCGONJZHE-GOSISDBHSA-N,,False,False,0,False,0,False,0,False,0,,,,,0,0
AFSDNFLWKVMVRB-UHFFFAOYSA-N,CHEMBL6246,True,True,593,True,34,False,0,False,0,19.0,Unchecked,7.85,anti_inflammatory|antimicrobial|antioxidant|antiviral|cytotoxicity,264,534
AGBQKNBQESQNJD-SSDOTTSWSA-N,CHEMBL134342,True,True,30,False,0,False,0,False,0,,,4.7,anti_inflammatory|antioxidant|cytotoxicity,6,30
AGBYBGPUAJZWDY-CLRSYFRZSA-N,,False,False,0,False,0,False,0,False,0,,,,,0,0
AGIAQPIYGHUVMY-JRTLGTJJSA-N,,False,False,0,False,0,False,0,False,0,,,,,0,0
AGYHUJLPTURBHW-RPWUZVMVSA-N,,False,False,0,False,0,False,0,False,0,,,,,0,0
AHBJPGDMGKOLJC-ZDBUQCSCSA-N,,False,False,0,False,0,False,0,False,0,,,,,0,0
AITZTJGBRHUSDK-MFKMUULPSA-N,,False,False,0,False,0,False,0,False,0,,,,,0,0
AJGZFQDMKBTWTH-GGUBNDNLSA-N,CHEMBL491584,True,True,14,False,0,False,0,False,0,,,,antimicrobial,7,14
AKSKHQQIZQNYLX-MMCSFCSJSA-N,,False,False,0,False,0,False,0,False,0,,,,,0,0
AKXKFAIYNXRDEB-SVKXURNBSA-N,,False,False,0,False,0,False,0,False,0,,,,,0,0
AKXOIHNFHOEPHN-AWEZNQCLSA-N,,False,False,0,False,0,False,0,False,0,,,,,0,0
ALHFWFVPZTXDOE-AAKXPCJFSA-N,,False,False,0,False,0,False,0,False,0,,,,,0,0
ALIOKRACUZLOCC-RBUKOAKNSA-N,,False,False,0,False,0,False,0,False,0,,,,,0,0
ALNCSCLTBCGURW-UHFFFAOYSA-N,CHEMBL5574277,True,True,1,False,0,False,0,False,0,,,,cytotoxicity,1,1
ALTRNXWGUQFXSC-UNNYLJGKSA-N,,False,False,0,False,0,False,0,False,0,,,,,0,0
AMBQHHVBBHTQBF-ZQVCQIDZSA-N,,False,False,0,False,0,False,0,False,0,,,,,0,0
ANSCENNXWQFDJG-KOOVRBLHSA-N,,False,False,0,False,0,False,0,False,0,,,,,0,0
AOJJSUZBOXZQNB-GPUIEZTRSA-N,CHEMBL5570280,True,True,4,False,0,False,0,False,0,,,,cytotoxicity,2,4
AORYFYLFZDBOMS-AKEOPSGXSA-N,,False,False,0,False,0,False,0,False,0,,,,,0,0
APKFDSVGJQXUKY-INPOYWNPSA-N,CHEMBL267345,True,True,8614,True,153,False,0,False,0,136.0,Human immunodeficiency virus 1,10.46,anti_inflammatory|anti_tb|antimicrobial|antioxidant|antiviral|cytotoxicity,507,6385
AQIRJWUAVQVXIM-MJDBTJCESA-N,,False,False,0,False,0,False,0,False,0,,,,,0,0
AQNSTJUVKAUYLL-AWEZNQCLSA-O,CHEMBL1185088,True,False,0,False,0,False,0,False,0,,,,,0,0
