inchikey,inchikey_connectivity,canonical_smiles,inchi,iupac_name,common_names,molecular_formula,molecular_weight,evidence_tier,source_count,source_list,species_list,species_count,doi_refs,reference_count
AAWZDTNXLSGCEK-WVEQISQRSA-N,AAWZDTNXLSGCEK,O=C(O)[C@@]1(O)C[C@@H](O)[C@H](O)[C@@H](O)C1,"InChI=1S/C7H12O6/c8-3-1-7(13,6(11)12)2-4(9)5(3)10/h3-5,8-10,13H,1-2H2,(H,11,12)/t3-,4+,5+,7-",,"(+)-quinic acid|(3~{r},5~{r})-1,3,4,5-tetrahydroxycyclohexanecarboxylic acid|(3~{s},5~{r})-1,3,4,5-tetrahydroxycyclohexanecarboxylic acid|(3~{s},5~{s})-1,3,4,5-tetrahydroxycyclohexanecarboxylic acid|d-(-)-quinicacid|quinic acid",C7H12O6,192.167,gold,5,COCONUT|KNApSAcK|LOTUS_Wikidata|PMC_fulltext|PubMed_NER,Magnolia denudata|Magnolia liliiflora,2,10.1002/cbdv.202100894|10.1016/j.foodres.2020.109192|10.3390/plants14111725,3
ABORBIAHEXNJQM-UHFFFAOYSA-O,ABORBIAHEXNJQM,COc1cc(-c2[o+]c3cc(O)cc(OC4OC(CO)C(O)C(O)C4O)c3cc2OC2OC(COC3OC(C)C(O)C(O)C3O)C(O)C(O)C2O)ccc1O,"InChI=1S/C34H42O20/c1-11-22(38)25(41)28(44)32(49-11)48-10-21-24(40)27(43)30(46)34(54-21)52-19-8-14-16(50-31(19)12-3-4-15(37)18(5-12)47-2)6-13(36)7-17(14)51-33-29(45)26(42)23(39)20(9-35)53-33/h3-8,11,20-30,32-35,38-46H,9-10H2,1-2H3,(H-,36,37)/p+1",,peonidin 3-rutinoside-5-glucoside,C34H43O20+,771.698,gold,1,KNApSAcK,Magnolia spp.,1,,0
ABSDACFLIMOXJY-MRXNPFEDSA-O,ABSDACFLIMOXJY,COc1ccc(C[C@@H]2c3cc(O)c(OC)cc3CC[N+]2(C)C)cc1O,"InChI=1S/C20H25NO4/c1-21(2)8-7-14-11-20(25-4)18(23)12-15(14)16(21)9-13-5-6-19(24-3)17(22)10-13/h5-6,10-12,16H,7-9H2,1-4H3,(H-,22,23)/p+1/t16-/m1/s1",,(r)-tembetarine|(s)-tembetarine|tembetarine,C20H26NO4+,344.431,gold,4,COCONUT|KNApSAcK|LOTUS_Wikidata|PubMed_NER,Magnolia officinalis,1,10.3390/molecules18077739,1
ADFOLUXMYYCTRR-KBPBESRZSA-N,ADFOLUXMYYCTRR,COc1cc(C[C@H](C)[C@@H](C)Cc2ccc(O)c(OC)c2)ccc1O,"InChI=1S/C20H26O4/c1-13(9-15-5-7-17(21)19(11-15)23-3)14(2)10-16-6-8-18(22)20(12-16)24-4/h5-8,11-14,21-22H,9-10H2,1-4H3/t13-,14-/m0/s1",,(+/-)-dihydroguaiaretic acid|(-)-dihydroguaiaretic acid|meso-dihydroguaiaretic acid,C20H26O4,330.424,gold,2,COCONUT|LOTUS_Wikidata,Magnolia ovata,1,,0
ADIDQIZBYUABQK-UPJWGTAASA-N,ADIDQIZBYUABQK,C=C(C)[C@H]1CC[C@@H](C)C2=C(C1)[C@H](C)CC2,"InChI=1S/C15H24/c1-10(2)13-7-5-11(3)14-8-6-12(4)15(14)9-13/h11-13H,1,5-9H2,2-4H3/t11-,12-,13+/m1/s1",,.alpha.-guaiene|alpha-guaiene|e-.beta.-guaiene,C15H24,204.357,gold,3,COCONUT|KNApSAcK|LOTUS_Wikidata,Magnolia officinalis,1,,0
AETACSMBICRTEP-QGJAPQDVSA-N,AETACSMBICRTEP,CC(=O)NC[C@@H]1C(=O)O[C@H]2[C@H]1CC/C(C)=C\CC[C@]1(C)O[C@@H]21,"InChI=1S/C17H25NO4/c1-10-5-4-8-17(3)15(22-17)14-12(7-6-10)13(16(20)21-14)9-18-11(2)19/h5,12-15H,4,6-9H2,1-3H3,(H,18,19)/b10-5-/t12-,13-,14-,15-,17-/m0/s1",,"(+)-n-acetylparthenolidine|n-[[(1s,2s,4s,7z,11s,12r)-4,8-dimethyl-13-oxo-3,14-dioxatricyclo[9.3.0.02,4]tetradec-7-en-12-yl]methyl]acetamide",C17H25NO4,307.39,gold,4,COCONUT|KNApSAcK|LOTUS_Wikidata|PubMed_NER,Magnolia rajaniana|Magnolia rajaniana|Magnolia baillonii,2,10.1021/np50060a027,1
AGBYBGPUAJZWDY-CLRSYFRZSA-N,AGBYBGPUAJZWDY,C=CCc1ccc(Oc2cc(CC=C)cc(O)c2O[C@]2(C)CCC[C@]3(C)CC[C@@H](C(C)(C)O)C[C@H]32)cc1,"InChI=1S/C33H44O4/c1-7-10-23-12-14-26(15-13-23)36-28-21-24(11-8-2)20-27(34)30(28)37-33(6)18-9-17-32(5)19-16-25(22-29(32)33)31(3,4)35/h7-8,12-15,20-21,25,29,34-35H,1-2,9-11,16-19,22H2,3-6H3/t25-,29-,32-,33-/m1/s1",,eudesobovatol b,C33H44O4,504.711,gold,4,COCONUT|KNApSAcK|LOTUS_Wikidata|PubMed_NER,Magnolia obovata,1,10.1080/14786419.2015.1110703,1
AGIAQPIYGHUVMY-JRTLGTJJSA-N,AGIAQPIYGHUVMY,COc1ccc2c(c1O)-c1c(OC)c(OC)cc3c1[C@H](C2)[N+](C)([O-])CC3,"InChI=1S/C20H23NO5/c1-21(23)8-7-12-10-15(25-3)20(26-4)18-16(12)13(21)9-11-5-6-14(24-2)19(22)17(11)18/h5-6,10,13,22H,7-9H2,1-4H3/t13-,21?/m0/s1",,isocorydine n-oxide,C20H23NO5,357.406,bronze,1,COCONUT,,0,,0
AKXOIHNFHOEPHN-CQSZACIVSA-N,AKXOIHNFHOEPHN,COc1c(O)cc2c3c1-c1ccccc1C[C@H]3N(C)CC2,"InChI=1S/C18H19NO2/c1-19-8-7-12-10-15(20)18(21-2)17-13-6-4-3-5-11(13)9-14(19)16(12)17/h3-6,10,14,20H,7-9H2,1-2H3/t14-/m1/s1",,o-nornuciferine,C18H19NO2,281.355,bronze,1,COCONUT,,0,,0
ALNCSCLTBCGURW-UHFFFAOYSA-N,ALNCSCLTBCGURW,O=C1c2cc(O)ccc2-c2c3c(cc4ccnc1c24)OCO3,"InChI=1S/C17H9NO4/c19-9-1-2-10-11(6-9)16(20)15-13-8(3-4-18-15)5-12-17(14(10)13)22-7-21-12/h1-6,19H,7H2",,oxoanolobine,C17H9NO4,291.262,gold,2,COCONUT|LOTUS_Wikidata,Magnolia coco,1,,0
