inchikey,inchikey_connectivity,source_db,source_id,species_reported,species_accepted,plant_part,doi,evidence_tier,query_term,query_date
VVOAZFWZEDHOOU-UHFFFAOYSA-N,VVOAZFWZEDHOOU,ChEMBL,CHEMBL180920,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=magnolol,2026-05-28T23:15:56Z
ROPDWYIWHWKVLI-UHFFFAOYSA-N,ROPDWYIWHWKVLI,ChEMBL,CHEMBL183320,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=magnolol,2026-05-28T23:15:56Z
QIWQHZQTBNPZSG-WTQRLHSKSA-N,QIWQHZQTBNPZSG,ChEMBL,CHEMBL490574,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=magnolol,2026-05-28T23:15:56Z
YVMBMEXRHOXCPM-IKQHHCORSA-N,YVMBMEXRHOXCPM,ChEMBL,CHEMBL1818475,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=magnolol,2026-05-28T23:15:56Z
FVYXIJYOAGAUQK-UHFFFAOYSA-N,FVYXIJYOAGAUQK,ChEMBL,CHEMBL16901,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=honokiol,2026-05-28T23:15:56Z
OQFHJKZVOALSPV-UHFFFAOYSA-N,OQFHJKZVOALSPV,ChEMBL,CHEMBL89700,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=honokiol,2026-05-28T23:15:56Z
RVIUPPNYFNZVFG-UHFFFAOYSA-N,RVIUPPNYFNZVFG,ChEMBL,CHEMBL551850,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=obovatol,2026-05-28T23:15:56Z
YLRXAIKMLINXQY-ZDUSSCGKSA-O,YLRXAIKMLINXQY,ChEMBL,CHEMBL235428,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=magnoflorine,2026-05-28T23:15:56Z
YLRXAIKMLINXQY-ZDUSSCGKSA-O,YLRXAIKMLINXQY,ChEMBL,CHEMBL494052,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=magnoflorine,2026-05-28T23:15:56Z
YLRXAIKMLINXQY-ZDUSSCGKSA-O,YLRXAIKMLINXQY,ChEMBL,CHEMBL496685,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=magnoflorine,2026-05-28T23:15:56Z
