inchikey,common_names,canonical_smiles,molecular_weight,LogP,nearest_ns3_distance,nearest_ns3_chembl_id,nearest_ns3_ic50_uM,nearest_ns5_distance,nearest_ns5_chembl_id,nearest_ns5_ic50_uM,closest_target,max_tanimoto_ns3,most_similar_ns3_chembl_id,max_tanimoto_ns5,most_similar_ns5_chembl_id,ns3_rank,ns5_rank
AAWZDTNXLSGCEK-WVEQISQRSA-N,"(+)-quinic acid|(3~{r},5~{r})-1,3,4,5-tetrahydroxycyclohexanecarboxylic acid|(3~{s},5~{r})-1,3,4,5-tetrahydroxycyclohexanecarboxylic acid|(3~{s},5~{s})-1,3,4,5-tetrahydroxycyclohexanecarboxylic acid|d-(-)-quinicacid|quinic acid",O=C(O)[C@@]1(O)C[C@@H](O)[C@H](O)[C@@H](O)C1,192.167,-2.3214000000000006,3.4051,CHEMBL5590910,2.76,3.309,CHEMBL598807,27.59,NS5 RdRp,0.1,CHEMBL4848445,0.1552,CHEMBL597965,700,713
ABORBIAHEXNJQM-UHFFFAOYSA-O,peonidin 3-rutinoside-5-glucoside,COc1cc(-c2[o+]c3cc(O)cc(OC4OC(CO)C(O)C(O)C4O)c3cc2OC2OC(COC3OC(C)C(O)C(O)C3O)C(O)C(O)C2O)ccc1O,771.6980000000007,-2.9900999999999986,4.1728,CHEMBL4569882,6.3,3.7056,CHEMBL4126343,0.34,NS5 RdRp,0.1489,CHEMBL4441383,0.3333,CHEMBL82242,715,718
ABSDACFLIMOXJY-MRXNPFEDSA-O,(r)-tembetarine|(s)-tembetarine|tembetarine,COc1ccc(C[C@@H]2c3cc(O)c(OC)cc3CC[N+]2(C)C)cc1O,344.4310000000001,3.031300000000002,0.9447,CHEMBL5194226,0.38,0.4174,CHEMBL3810157,39.0,NS5 RdRp,0.1857,CHEMBL4441383,0.2206,CHEMBL607863,323,115
ADFOLUXMYYCTRR-KBPBESRZSA-N,(+/-)-dihydroguaiaretic acid|(-)-dihydroguaiaretic acid|meso-dihydroguaiaretic acid,COc1cc(C[C@H](C)[C@@H](C)Cc2ccc(O)c(OC)c2)ccc1O,330.42400000000004,4.172400000000004,0.8497,CHEMBL5194226,0.38,0.5303,CHEMBL4464214,7.3,NS5 RdRp,0.2083,CHEMBL3819036,0.2821,CHEMBL115145,272,183
ADIDQIZBYUABQK-UPJWGTAASA-N,.alpha.-guaiene|alpha-guaiene|e-.beta.-guaiene,C=C(C)[C@H]1CC[C@@H](C)C2=C(C1)[C@H](C)CC2,204.35699999999994,4.7252000000000045,1.9547,CHEMBL5590910,2.76,2.147,CHEMBL25718,25.3,NS2B-NS3,0.0968,CHEMBL4868257,0.1364,CHEMBL269277,592,620
AETACSMBICRTEP-QGJAPQDVSA-N,"(+)-n-acetylparthenolidine|n-[[(1s,2s,4s,7z,11s,12r)-4,8-dimethyl-13-oxo-3,14-dioxatricyclo[9.3.0.02,4]tetradec-7-en-12-yl]methyl]acetamide",CC(=O)NC[C@@H]1C(=O)O[C@H]2[C@H]1CC/C(C)=C\CC[C@]1(C)O[C@@H]21,307.39,1.9580999999999995,1.5399,CHEMBL5590910,2.76,1.1102,CHEMBL597978,4.47,NS5 RdRp,0.1628,CHEMBL4865004,0.1744,CHEMBL7301,476,389
AGBYBGPUAJZWDY-CLRSYFRZSA-N,eudesobovatol b,C=CCc1ccc(Oc2cc(CC=C)cc(O)c2O[C@]2(C)CCC[C@]3(C)CC[C@@H](C(C)(C)O)C[C@H]32)cc1,504.7110000000004,8.156400000000009,1.1412,CHEMBL4868257,8.4,1.5538,CHEMBL599616,2.81,NS2B-NS3,0.1607,CHEMBL4526128,0.1556,CHEMBL607863,384,490
AGIAQPIYGHUVMY-JRTLGTJJSA-N,isocorydine n-oxide,COc1ccc2c(c1O)-c1c(OC)c(OC)cc3c1[C@H](C2)[N+](C)([O-])CC3,357.4060000000002,3.1827000000000023,0.6757,CHEMBL1458891,2.94,0.3603,CHEMBL3810157,39.0,NS5 RdRp,0.1892,CHEMBL4441383,0.1558,CHEMBL3809849,187,83
AKXOIHNFHOEPHN-CQSZACIVSA-N,o-nornuciferine,COc1c(O)cc2c3c1-c1ccccc1C[C@H]3N(C)CC2,281.3550000000001,3.1529000000000007,0.8326,CHEMBL1324,0.64,0.5553,CHEMBL607863,27.53,NS5 RdRp,0.1711,CHEMBL4848445,0.1972,CHEMBL607863,266,203
ALNCSCLTBCGURW-UHFFFAOYSA-N,oxoanolobine,O=C1c2cc(O)ccc2-c2c3c(cc4ccnc1c24)OCO3,291.26200000000006,2.8805000000000014,0.4924,CHEMBL4865575,0.69,1.2935,CHEMBL220175,29.9,NS2B-NS3,0.1618,CHEMBL4870335,0.2281,CHEMBL289277,76,433
