compound_name,canonical_smiles,inchi,inchikey,molecular_formula,molecular_weight,source_db,source_id,species,plant_part,doi,evidence_tier,query_term,query_date
Syringin,,,,C17H24O9,0.0,KNApSAcK,C00000010,Magnolia sieboldii,,,gold,Magnolia,2026-05-28T23:05:25Z
Syringin,,,,C17H24O9,0.0,KNApSAcK,C00000010,Magnolia gradiflora,,,gold,Magnolia,2026-05-28T23:05:25Z
Syringin,,,,C17H24O9,0.0,KNApSAcK,C00000010,Magnolia grandiflora L.,,,gold,Magnolia,2026-05-28T23:05:25Z
Syringin,,,,C17H24O9,0.0,KNApSAcK,C00000010,Magnolia obovata,,,gold,Magnolia,2026-05-28T23:05:25Z
Syringin,,,,C17H24O9,0.0,KNApSAcK,C00000010,Magnolia officinalis,,,gold,Magnolia,2026-05-28T23:05:25Z
Indole-3-acetyl-L-aspartic acid,,,,C14H14N2O5,0.0,KNApSAcK,C00000117,Magnolia sp.,,,gold,Magnolia,2026-05-28T23:05:25Z
N-Malonyltryptophan,,,,C14H14N2O5,0.0,KNApSAcK,C00000118,Magnolia sp.,,,gold,Magnolia,2026-05-28T23:05:25Z
"1,8-Cineol",,,,C10H18O,0.0,KNApSAcK,C00000136,Magnolia officinalis,,,gold,Magnolia,2026-05-28T23:05:25Z
"1,8-Cineol",,,,C10H18O,0.0,KNApSAcK,C00000136,Magnolia liliiflora,,,gold,Magnolia,2026-05-28T23:05:25Z
p-Coumaric acid,,,,C9H8O3,0.0,KNApSAcK,C00000152,Magnolia liliiflora,,,gold,Magnolia,2026-05-28T23:05:25Z
p-Coumaric acid,,,,C9H8O3,0.0,KNApSAcK,C00000152,Magnolia denudata,,,gold,Magnolia,2026-05-28T23:05:25Z
alpha-Eudesmol,,,,C15H26O,0.0,KNApSAcK,C00000163,Magnolia officinalis,,,gold,Magnolia,2026-05-28T23:05:25Z
(+)-beta-Eudesmol,,,,C15H26O,0.0,KNApSAcK,C00000164,Magnolia officinalis,,,gold,Magnolia,2026-05-28T23:05:25Z
(+)-beta-Eudesmol,,,,C15H26O,0.0,KNApSAcK,C00000164,Magnolia liliiflora,,,gold,Magnolia,2026-05-28T23:05:25Z
gamma-Eudesmol,,,,C15H26O,0.0,KNApSAcK,C00000165,Magnolia officinalis,,,gold,Magnolia,2026-05-28T23:05:25Z
Cinnamate,,,,C9H8O2,0.0,KNApSAcK,C00000170,Magnolia liliiflora,,,gold,Magnolia,2026-05-28T23:05:25Z
Cinnamate,,,,C9H8O2,0.0,KNApSAcK,C00000170,Magnolia denudata,,,gold,Magnolia,2026-05-28T23:05:25Z
