compound_name,canonical_smiles,inchi,inchikey,molecular_formula,molecular_weight,source_db,source_id,species,plant_part,doi,evidence_tier,query_term,query_date
magnolol,,,,,0.0,PubMed_NER,PMID:30103472,Magnolia tree,,10.3390/ijms19082362,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
magnolol,,,,,0.0,PubMed_NER,PMID:29925102,Magnolia sp.,,10.1055/a-0642-1966,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
honokiol,,,,,0.0,PubMed_NER,PMID:29925102,Magnolia sp.,,10.1055/a-0642-1966,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
verbascoside,,,,,0.0,PubMed_NER,PMID:26093323,Magnolia and|Magnolia sections|Magnolia subgenus|Magnolia acuminata|Magnolia salicifolia|Magnolia macrophylla|Magnolia sensu,,10.1016/j.phytochem.2015.02.025,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
echinacoside,,,,,0.0,PubMed_NER,PMID:26093323,Magnolia and|Magnolia sections|Magnolia subgenus|Magnolia acuminata|Magnolia salicifolia|Magnolia macrophylla|Magnolia sensu,,10.1016/j.phytochem.2015.02.025,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
kaempferol,,,,,0.0,PubMed_NER,PMID:38471573,Magnolia champaca,,10.1016/j.fitote.2024.105900,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
quercetin,,,,,0.0,PubMed_NER,PMID:38471573,Magnolia champaca,,10.1016/j.fitote.2024.105900,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
rutin,,,,,0.0,PubMed_NER,PMID:38471573,Magnolia champaca,,10.1016/j.fitote.2024.105900,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
isoacteoside,,,,,0.0,PubMed_NER,PMID:38692344,Magnolia champaca,,10.1016/j.phytochem.2024.114118,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
acteoside,,,,,0.0,PubMed_NER,PMID:38692344,Magnolia champaca,,10.1016/j.phytochem.2024.114118,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
echinacoside,,,,,0.0,PubMed_NER,PMID:38692344,Magnolia champaca,,10.1016/j.phytochem.2024.114118,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
magnolol,,,,,0.0,PubMed_NER,PMID:28517911,Magnolia abuse|Magnolia derivatives|Magnolia as|Magnolia products|Magnolia bark|Magnolia misuse|Magnolia officinalis|Magnolia misusers|Magnolia with,,10.1002/hup.2595,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
honokiol,,,,,0.0,PubMed_NER,PMID:28517911,Magnolia abuse|Magnolia derivatives|Magnolia as|Magnolia products|Magnolia bark|Magnolia misuse|Magnolia officinalis|Magnolia misusers|Magnolia with,,10.1002/hup.2595,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
tetrahydromagnolol,,,,,0.0,PubMed_NER,PMID:28517911,Magnolia abuse|Magnolia derivatives|Magnolia as|Magnolia products|Magnolia bark|Magnolia misuse|Magnolia officinalis|Magnolia misusers|Magnolia with,,10.1002/hup.2595,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
ethanol,,,,,0.0,PubMed_NER,PMID:889597,Magnolia champaca|Magnolia ovata,,10.1002/jps.2600660642,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
costunolide,,,,,0.0,PubMed_NER,PMID:889597,Magnolia champaca|Magnolia ovata,,10.1002/jps.2600660642,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
parthenolide,,,,,0.0,PubMed_NER,PMID:889597,Magnolia champaca|Magnolia ovata,,10.1002/jps.2600660642,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
honokiol,,,,,0.0,PubMed_NER,PMID:34362632,Magnolia grandiflora|Magnolia species|Magnolia dealbata,,10.1016/j.phymed.2021.153647,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
honokiol,,,,,0.0,PubMed_NER,PMID:36093963,Magnolia sp.,,10.1080/07391102.2022.2120541,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
machilin g,,,,,0.0,PubMed_NER,PMID:20663528,Magnolia and|Magnolia fraseri|Magnolia pyramidata,,10.1016/j.phytochem.2010.06.014,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
pyramidatin a,,,,,0.0,PubMed_NER,PMID:20663528,Magnolia and|Magnolia fraseri|Magnolia pyramidata,,10.1016/j.phytochem.2010.06.014,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
honokiol,,,,,0.0,PubMed_NER,PMID:31877856,Magnolia sp.,,10.3390/cancers12010048,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
magnolol,,,,,0.0,PubMed_NER,PMID:34400262,Magnolia officinalis,,10.1016/j.jep.2021.114524,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
honokiol,,,,,0.0,PubMed_NER,PMID:34400262,Magnolia officinalis,,10.1016/j.jep.2021.114524,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
magnolol,,,,,0.0,PubMed_NER,PMID:21277893,Magnolia and|Magnolia family|Magnolia tree,,10.1016/j.pharmthera.2011.01.010,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
obovatol,,,,,0.0,PubMed_NER,PMID:21277893,Magnolia and|Magnolia family|Magnolia tree,,10.1016/j.pharmthera.2011.01.010,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
4-o-methylhonokiol,,,,,0.0,PubMed_NER,PMID:21277893,Magnolia and|Magnolia family|Magnolia tree,,10.1016/j.pharmthera.2011.01.010,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
honokiol,,,,,0.0,PubMed_NER,PMID:21277893,Magnolia and|Magnolia family|Magnolia tree,,10.1016/j.pharmthera.2011.01.010,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
methylhonokiol,,,,,0.0,PubMed_NER,PMID:21277893,Magnolia and|Magnolia family|Magnolia tree,,10.1016/j.pharmthera.2011.01.010,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
ethanol,,,,,0.0,PubMed_NER,PMID:39664906,Magnolia sp.,,10.3389/fvets.2024.1440275,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
honokiol,,,,,0.0,PubMed_NER,PMID:28817221,Magnolia tree,,10.1002/biof.1385,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
1-octanol,,,,,0.0,PubMed_NER,PMID:35048988,Magnolia grandiflora,,10.1093/jee/toab262,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
ethyl acetate,,,,,0.0,PubMed_NER,PMID:32162538,Magnolia sp.,,10.1080/14786419.2020.1736061,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
ethanol,,,,,0.0,PubMed_NER,PMID:40165356,Magnolia sp.,,10.1002/cbdv.202402803,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
honokiol,,,,,0.0,PubMed_NER,PMID:38308434,Magnolia species,,10.1002/cbdv.202302032,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
micheliolide,,,,,0.0,PubMed_NER,PMID:38496875,Magnolia sp.,,10.1016/j.heliyon.2024.e27299,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
magnolol,,,,,0.0,PubMed_NER,PMID:31240205,Magnolia sp.,,10.1155/2019/1847130,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
kaempferol,,,,,0.0,PubMed_NER,PMID:40619041,Magnolia sp.,,10.1016/j.jep.2025.120249,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
magnolol,,,,,0.0,PubMed_NER,PMID:40619041,Magnolia sp.,,10.1016/j.jep.2025.120249,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
quercetin,,,,,0.0,PubMed_NER,PMID:40619041,Magnolia sp.,,10.1016/j.jep.2025.120249,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
honokiol,,,,,0.0,PubMed_NER,PMID:40619041,Magnolia sp.,,10.1016/j.jep.2025.120249,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
magnolol,,,,,0.0,PubMed_NER,PMID:34833990,Magnolia sp.,,10.3390/molecules26226899,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
acuminatin,,,,,0.0,PubMed_NER,PMID:23157012,Magnolia ovata,,,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
spathulenol,,,,,0.0,PubMed_NER,PMID:23157012,Magnolia ovata,,,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
kadsurenin m,,,,,0.0,PubMed_NER,PMID:23157012,Magnolia ovata,,,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
decanoic acid,,,,,0.0,PubMed_NER,PMID:23157012,Magnolia ovata,,,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
magnovatin a,,,,,0.0,PubMed_NER,PMID:23157012,Magnolia ovata,,,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
lanuginosine,,,,,0.0,PubMed_NER,PMID:23157012,Magnolia ovata,,,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
magnovatin b,,,,,0.0,PubMed_NER,PMID:23157012,Magnolia ovata,,,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
parthenolide,,,,,0.0,PubMed_NER,PMID:23157012,Magnolia ovata,,,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
oleiferin c,,,,,0.0,PubMed_NER,PMID:23157012,Magnolia ovata,,,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
michelenolide,,,,,0.0,PubMed_NER,PMID:23157012,Magnolia ovata,,,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
licarin a,,,,,0.0,PubMed_NER,PMID:23157012,Magnolia ovata,,,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
ethyl acetate,,,,,0.0,PubMed_NER,PMID:37700379,Magnolia champaca,,10.1186/s13104-023-06487-9,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
ethanol,,,,,0.0,PubMed_NER,PMID:34994077,Magnolia sp.,,10.1002/cbdv.202100894,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
chlorogenic acid,,,,,0.0,PubMed_NER,PMID:34994077,Magnolia sp.,,10.1002/cbdv.202100894,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
quinic acid,,,,,0.0,PubMed_NER,PMID:34994077,Magnolia sp.,,10.1002/cbdv.202100894,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
camphor,,,,,0.0,PubMed_NER,PMID:37027518,Magnolia sp.,,10.1002/cbdv.202201179,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
terpinolene,,,,,0.0,PubMed_NER,PMID:37027518,Magnolia sp.,,10.1002/cbdv.202201179,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
(-)-camphor,,,,,0.0,PubMed_NER,PMID:37027518,Magnolia sp.,,10.1002/cbdv.202201179,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
α-phellandrene,,,,,0.0,PubMed_NER,PMID:37027518,Magnolia sp.,,10.1002/cbdv.202201179,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
neral,,,,,0.0,PubMed_NER,PMID:38577415,Magnolia sp.,,10.7717/peerj.17210,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
magnolol,,,,,0.0,PubMed_NER,PMID:26609630,Magnolia sp.,,10.1080/14786419.2015.1110703,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
eudesobovatol b,,,,,0.0,PubMed_NER,PMID:26609630,Magnolia sp.,,10.1080/14786419.2015.1110703,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
obovatol,,,,,0.0,PubMed_NER,PMID:26609630,Magnolia sp.,,10.1080/14786419.2015.1110703,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
eudesobovatol a,,,,,0.0,PubMed_NER,PMID:26609630,Magnolia sp.,,10.1080/14786419.2015.1110703,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
honokiol,,,,,0.0,PubMed_NER,PMID:26609630,Magnolia sp.,,10.1080/14786419.2015.1110703,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
ethanol,,,,,0.0,PubMed_NER,PMID:28621040,Magnolia grandiflora,,10.1002/cbdv.201700209,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
honokiol,,,,,0.0,PubMed_NER,PMID:35074454,Magnolia officinalis,,10.1016/j.jep.2022.115023,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
kaempferol,,,,,0.0,PubMed_NER,PMID:32961471,Magnolia sp.,,10.1016/j.plaphy.2020.06.050,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
quercetin,,,,,0.0,PubMed_NER,PMID:32961471,Magnolia sp.,,10.1016/j.plaphy.2020.06.050,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
cyanidin,,,,,0.0,PubMed_NER,PMID:32961471,Magnolia sp.,,10.1016/j.plaphy.2020.06.050,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
rutin,,,,,0.0,PubMed_NER,PMID:32961471,Magnolia sp.,,10.1016/j.plaphy.2020.06.050,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
honokiol,,,,,0.0,PubMed_NER,PMID:41261803,Magnolia sp.,,10.1021/acs.joc.5c02184,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
honokiol,,,,,0.0,PubMed_NER,PMID:36677790,Magnolia sp.,,10.3390/molecules28020735,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
magnolol,,,,,0.0,PubMed_NER,PMID:34576213,Magnolia sp.,,10.3390/ijms221810050,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
"1,8-cineole",,,,,0.0,PubMed_NER,PMID:40276223,Magnolia essential,,10.3389/fmicb.2025.1509796,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
"1,8-cineol",,,,,0.0,PubMed_NER,PMID:40276223,Magnolia essential,,10.3389/fmicb.2025.1509796,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
magnolol,,,,,0.0,PubMed_NER,PMID:26265578,Magnolia denudata,,10.1002/cbdv.201400297,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
vanillic acid,,,,,0.0,PubMed_NER,PMID:26265578,Magnolia denudata,,10.1002/cbdv.201400297,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
honokiol,,,,,0.0,PubMed_NER,PMID:26265578,Magnolia denudata,,10.1002/cbdv.201400297,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
ethanol,,,,,0.0,PubMed_NER,PMID:19252324,Magnolia fargesii,,10.1248/cpb.57.298,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
acetic acid,,,,,0.0,PubMed_NER,PMID:19252324,Magnolia fargesii,,10.1248/cpb.57.298,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
tanegool,,,,,0.0,PubMed_NER,PMID:19252324,Magnolia fargesii,,10.1248/cpb.57.298,provisional,PubMed_abstract_NER,2026-05-28T23:46:27Z
