compound_name,canonical_smiles,inchi,inchikey,molecular_formula,molecular_weight,source_db,source_id,species,plant_part,doi,evidence_tier,query_term,query_date
"1-(2,4,5-Trimethoxyphenyl)propane-1,2-dione",CC(=O)C(=O)C1=CC(=C(C=C1OC)OC)OC,"InChI=1S/C12H14O5/c1-7(13)12(14)8-5-10(16-3)11(17-4)6-9(8)15-2/h5-6H,1-4H3",UUZQHDNTPXKEID-UHFFFAOYSA-N,,0.0,LOTUS_Wikidata,Q82456694,Magnolia salicifolia,,,gold,P703/P171* wd:Q157017,2026-05-28T23:02:32Z
neral,CC(=CCCC(=CC=O)C)C,"InChI=1S/C10H16O/c1-9(2)5-4-6-10(3)7-8-11/h5,7-8H,4,6H2,1-3H3/b10-7-",WTEVQBCEXWBHNA-YFHOEESVSA-N,,0.0,LOTUS_Wikidata,Q27104033,Magnolia salicifolia,,,gold,P703/P171* wd:Q157017,2026-05-28T23:02:32Z
(S)-coclaurine,COC1=C(C=C2C(NCCC2=C1)CC3=CC=C(C=C3)O)O,"InChI=1S/C17H19NO3/c1-21-17-9-12-6-7-18-15(14(12)10-16(17)20)8-11-2-4-13(19)5-3-11/h2-5,9-10,15,18-20H,6-8H2,1H3/t15-/m0/s1",LVVKXRQZSRUVPY-HNNXBMFYSA-N,,0.0,LOTUS_Wikidata,Q15633989,Magnolia salicifolia,,,gold,P703/P171* wd:Q157017,2026-05-28T23:02:32Z
Grandisin,CC1C(C(OC1C2=CC(=C(C(=C2)OC)OC)OC)C3=CC(=C(C(=C3)OC)OC)OC)C,"InChI=1S/C24H32O7/c1-13-14(2)22(16-11-19(27-5)24(30-8)20(12-16)28-6)31-21(13)15-9-17(25-3)23(29-7)18(10-15)26-4/h9-14,21-22H,1-8H3/t13-,14-,21-,22-/m0/s1",ZPINJJOPURFFNV-WJWAULOUSA-N,,0.0,LOTUS_Wikidata,Q27106797,Magnolia denudata,,,gold,P703/P171* wd:Q157017,2026-05-28T23:02:32Z
(+)-pinoresinol,OC1=CC=C(C=C1OC)C2OCC3C(OCC23)C4=CC=C(O)C(OC)=C4,"InChI=1S/C20H22O6/c1-23-17-7-11(3-5-15(17)21)19-13-9-26-20(14(13)10-25-19)12-4-6-16(22)18(8-12)24-2/h3-8,13-14,19-22H,9-10H2,1-2H3/t13-,14-,19+,20+/m0/s1",HGXBRUKMWQGOIE-AFHBHXEDSA-N,,0.0,LOTUS_Wikidata,Q3388802,Magnolia denudata,,,gold,P703/P171* wd:Q157017,2026-05-28T23:02:32Z
scoparone,COC1=C(C=C2C(=C1)C=CC(=O)O2)OC,"InChI=1S/C11H10O4/c1-13-9-5-7-3-4-11(12)15-8(7)6-10(9)14-2/h3-6H,1-2H3",GUAFOGOEJLSQBT-UHFFFAOYSA-N,,0.0,LOTUS_Wikidata,Q15424761,Magnolia salicifolia,,,gold,P703/P171* wd:Q157017,2026-05-28T23:02:32Z
Lauterine,O=C1C2=NC=CC3=CC=4OCOC4C(C=5C=C(OC)C=CC15)=C23,"InChI=1S/C18H11NO4/c1-21-10-2-3-11-12(7-10)15-14-9(4-5-19-16(14)17(11)20)6-13-18(15)23-8-22-13/h2-7H,8H2,1H3",BHFUORVSBHCRKK-UHFFFAOYSA-N,,0.0,LOTUS_Wikidata,Q83053159,Magnolia × soulangeana,,,gold,P703/P171* wd:Q157017,2026-05-28T23:02:32Z
costunolide,CC1=CCCC(=CC2C(CC1)C(=C)C(=O)O2)C,"InChI=1S/C15H20O2/c1-10-5-4-6-11(2)9-14-13(8-7-10)12(3)15(16)17-14/h5,9,13-14H,3-4,6-8H2,1-2H3/b10-5+,11-9+/t13-,14+/m0/s1",HRYLQFBHBWLLLL-AHNJNIBGSA-N,,0.0,LOTUS_Wikidata,Q5175227,Magnolia salicifolia,,,gold,P703/P171* wd:Q157017,2026-05-28T23:02:32Z
"1,10-Epoxy-4-methoxy-7-methyl-8-(3,4-methylenedioxyphenyl)-spiro(5,5)undeca-1,4-dien-3-one",O=C1C=C2OC3CC(C4=CC=C5OCOC5=C4)C(C)C2(C=C1OC)C3,"InChI=1S/C20H20O5/c1-11-14(12-3-4-16-17(5-12)24-10-23-16)6-13-8-20(11)9-18(22-2)15(21)7-19(20)25-13/h3-5,7,9,11,13-14H,6,8,10H2,1-2H3",SXHVHWXETMBKPP-UHFFFAOYSA-N,,0.0,LOTUS_Wikidata,Q105263129,Magnolia salicifolia,,,gold,P703/P171* wd:Q157017,2026-05-28T23:02:32Z
methyl eugenol,COC1=C(C=C(C=C1)CC=C)OC,"InChI=1S/C11H14O2/c1-4-5-9-6-7-10(12-2)11(8-9)13-3/h4,6-8H,1,5H2,2-3H3",ZYEMGPIYFIJGTP-UHFFFAOYSA-N,,0.0,LOTUS_Wikidata,Q419829,Magnolia salicifolia,,,gold,P703/P171* wd:Q157017,2026-05-28T23:02:32Z
