compound_name,canonical_smiles,inchi,inchikey,molecular_formula,molecular_weight,source_db,source_id,species,plant_part,doi,evidence_tier,query_term,query_date
,C/C/1=C\CC[C@]2(C)[C@H]([C@@H]3[C@H](C(=C)C(=O)O3)[C@@H](C1)OC(=O)C)O2,"InChI=1S/C17H22O5/c1-9-6-5-7-17(4)15(22-17)14-13(10(2)16(19)21-14)12(8-9)20-11(3)18/h6,12-15H,2,5,7-8H2,1,3-4H3/b9-6+/t12-,13-,14+,15+,17-/m1/s1",ODYJJNFWFYUXSS-SOZNHUOKSA-N,,0.0,NPASS,NPC151770,Michelia shiluensis,,PMID:30289713,gold,org_id=NPO40545,2026-05-29T17:14:13Z
,C/C/1=C\CC[C@]2(C)[C@H]([C@@H]3[C@H](C(=C)C(=O)O3)[C@@H](C1)OC(=O)C)O2,"InChI=1S/C17H22O5/c1-9-6-5-7-17(4)15(22-17)14-13(10(2)16(19)21-14)12(8-9)20-11(3)18/h6,12-15H,2,5,7-8H2,1,3-4H3/b9-6+/t12-,13-,14+,15+,17-/m1/s1",ODYJJNFWFYUXSS-SOZNHUOKSA-N,,0.0,NPASS,NPC151770,Liriodendron tulipifera,,PMID:23501116,gold,org_id=NPO12721,2026-05-29T17:14:13Z
,COC(=O)[C@@]1(C[C@H]([C@H]([C@@H](C1)OC(=O)C=Cc1ccc(c(c1)O)O)O)O)O,"InChI=1S/C17H20O9/c1-25-16(23)17(24)7-12(20)15(22)13(8-17)26-14(21)5-3-9-2-4-10(18)11(19)6-9/h2-6,12-13,15,18-20,22,24H,7-8H2,1H3/t12-,13-,15-,17+/m1/s1",MZNIJRAPCCELQX-SMKXDYDZSA-N,,0.0,NPASS,NPC157378,Liriodendron tulipifera,,,gold,org_id=NPO12721,2026-05-29T17:14:13Z
,COc1ccc(cc1OC)[C@H]1[C@H]2CO[C@H](c3cc(c(c(c3)OC)OC)OC)[C@H]2CO1,"InChI=1S/C23H28O7/c1-24-17-7-6-13(8-18(17)25-2)21-15-11-30-22(16(15)12-29-21)14-9-19(26-3)23(28-5)20(10-14)27-4/h6-10,15-16,21-22H,11-12H2,1-5H3/t15-,16-,21-,22+/m0/s1",MFIHSKBTNZNJIK-WWLNLUSPSA-N,,0.0,NPASS,NPC139274,Magnolia liliflora,,,gold,org_id=NPO30851,2026-05-29T17:14:13Z
,COc1ccc(cc1OC)[C@H]1[C@H]2CO[C@H](c3cc(c(c(c3)OC)OC)OC)[C@H]2CO1,"InChI=1S/C23H28O7/c1-24-17-7-6-13(8-18(17)25-2)21-15-11-30-22(16(15)12-29-21)14-9-19(26-3)23(28-5)20(10-14)27-4/h6-10,15-16,21-22H,11-12H2,1-5H3/t15-,16-,21-,22+/m0/s1",MFIHSKBTNZNJIK-WWLNLUSPSA-N,,0.0,NPASS,NPC139274,Magnolia kobus,,,gold,org_id=NPO1918,2026-05-29T17:14:13Z
,COc1ccc(cc1OC)[C@H]1[C@H]2CO[C@H](c3cc(c(c(c3)OC)OC)OC)[C@H]2CO1,"InChI=1S/C23H28O7/c1-24-17-7-6-13(8-18(17)25-2)21-15-11-30-22(16(15)12-29-21)14-9-19(26-3)23(28-5)20(10-14)27-4/h6-10,15-16,21-22H,11-12H2,1-5H3/t15-,16-,21-,22+/m0/s1",MFIHSKBTNZNJIK-WWLNLUSPSA-N,,0.0,NPASS,NPC139274,Magnolia biondii,,,gold,org_id=NPO18811,2026-05-29T17:14:13Z
,COc1ccc(cc1OC)[C@H]1[C@H]2CO[C@H](c3cc(c(c(c3)OC)OC)OC)[C@H]2CO1,"InChI=1S/C23H28O7/c1-24-17-7-6-13(8-18(17)25-2)21-15-11-30-22(16(15)12-29-21)14-9-19(26-3)23(28-5)20(10-14)27-4/h6-10,15-16,21-22H,11-12H2,1-5H3/t15-,16-,21-,22+/m0/s1",MFIHSKBTNZNJIK-WWLNLUSPSA-N,,0.0,NPASS,NPC139274,Magnolia salicifolia,,,gold,org_id=NPO15294,2026-05-29T17:14:13Z
,COc1ccc(cc1OC)[C@H]1[C@H]2CO[C@H](c3cc(c(c(c3)OC)OC)OC)[C@H]2CO1,"InChI=1S/C23H28O7/c1-24-17-7-6-13(8-18(17)25-2)21-15-11-30-22(16(15)12-29-21)14-9-19(26-3)23(28-5)20(10-14)27-4/h6-10,15-16,21-22H,11-12H2,1-5H3/t15-,16-,21-,22+/m0/s1",MFIHSKBTNZNJIK-WWLNLUSPSA-N,,0.0,NPASS,NPC139274,Magnolia biondii,,,gold,org_id=NPO18811,2026-05-29T17:14:13Z
,COc1ccc(cc1OC)[C@H]1[C@H]2CO[C@H](c3cc(c(c(c3)OC)OC)OC)[C@H]2CO1,"InChI=1S/C23H28O7/c1-24-17-7-6-13(8-18(17)25-2)21-15-11-30-22(16(15)12-29-21)14-9-19(26-3)23(28-5)20(10-14)27-4/h6-10,15-16,21-22H,11-12H2,1-5H3/t15-,16-,21-,22+/m0/s1",MFIHSKBTNZNJIK-WWLNLUSPSA-N,,0.0,NPASS,NPC139274,Magnolia biondii,,,gold,org_id=NPO18811,2026-05-29T17:14:13Z
,COc1ccc(cc1OC)[C@H]1[C@H]2CO[C@H](c3cc(c(c(c3)OC)OC)OC)[C@H]2CO1,"InChI=1S/C23H28O7/c1-24-17-7-6-13(8-18(17)25-2)21-15-11-30-22(16(15)12-29-21)14-9-19(26-3)23(28-5)20(10-14)27-4/h6-10,15-16,21-22H,11-12H2,1-5H3/t15-,16-,21-,22+/m0/s1",MFIHSKBTNZNJIK-WWLNLUSPSA-N,,0.0,NPASS,NPC139274,Magnolia denudata,,,gold,org_id=NPO15064,2026-05-29T17:14:13Z
