compound_name,canonical_smiles,inchi,inchikey,molecular_formula,molecular_weight,source_db,source_id,species,plant_part,doi,evidence_tier,query_term,query_date
chlorane,Cl,InChI=1S/ClH/h1H,VEXZGXHMUGYJMC-UHFFFAOYSA-N,ClH,36.46,PubChem,313,Magnolia sp.,,,silver,Entrez_TaxID:3408,2026-05-21T22:55:22Z
ethanol,CCO,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",LFQSCWFLJHTTHZ-UHFFFAOYSA-N,C2H6O,46.07,PubChem,702,Magnolia sp.,,,silver,Entrez_TaxID:3408,2026-05-21T22:55:22Z
"benzyl-dimethyl-[2-[2-[4-(2,4,4-trimethylpentan-2-yl)phenoxy]ethoxy]ethyl]azanium",CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCC[N+](C)(C)CC2=CC=CC=C2,"InChI=1S/C27H42NO2/c1-26(2,3)22-27(4,5)24-13-15-25(16-14-24)30-20-19-29-18-17-28(6,7)21-23-11-9-8-10-12-23/h8-16H,17-22H2,1-7H3/q+1",SIYLLGKDQZGJHK-UHFFFAOYSA-N,C27H42NO2+,412.6,PubChem,2335,Magnolia sp.,,,silver,Entrez_TaxID:3408,2026-05-21T22:55:22Z
"4-chloro-3,5-dimethylphenol",CC1=CC(=CC(=C1Cl)C)O,"InChI=1S/C8H9ClO/c1-5-3-7(10)4-6(2)8(5)9/h3-4,10H,1-2H3",OSDLLIBGSJNGJE-UHFFFAOYSA-N,C8H9ClO,156.61,PubChem,2723,Magnolia sp.,,,silver,Entrez_TaxID:3408,2026-05-21T22:55:22Z
"benzyl-dimethyl-[2-[2-[4-(2,4,4-trimethylpentan-2-yl)phenoxy]ethoxy]ethyl]azanium chloride",CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCC[N+](C)(C)CC2=CC=CC=C2.[Cl-],"InChI=1S/C27H42NO2.ClH/c1-26(2,3)22-27(4,5)24-13-15-25(16-14-24)30-20-19-29-18-17-28(6,7)21-23-11-9-8-10-12-23;/h8-16H,17-22H2,1-7H3;1H/q+1;/p-1",UREZNYTWGJKWBI-UHFFFAOYSA-M,C27H42ClNO2,448.1,PubChem,8478,Magnolia sp.,,,silver,Entrez_TaxID:3408,2026-05-21T22:55:22Z
iodane,I,InChI=1S/HI/h1H,XMBWDFGMSWQBCA-UHFFFAOYSA-N,HI,127.9124,PubChem,24841,Magnolia sp.,,,silver,Entrez_TaxID:3408,2026-05-21T22:55:22Z
"(1R)-1-[(4-hydroxyphenyl)methyl]-6-methoxy-2,2-dimethyl-3,4-dihydro-1H-isoquinolin-2-ium-7-ol",C[N+]1(CCC2=CC(=C(C=C2[C@H]1CC3=CC=C(C=C3)O)O)OC)C,"InChI=1S/C19H23NO3/c1-20(2)9-8-14-11-19(23-3)18(22)12-16(14)17(20)10-13-4-6-15(21)7-5-13/h4-7,11-12,17H,8-10H2,1-3H3,(H-,21,22)/p+1/t17-/m1/s1",CLWOXNLVWMXBRD-QGZVFWFLSA-O,C19H24NO3+,314.4,PubChem,53266,Magnolia sp.,,,silver,Entrez_TaxID:3408,2026-05-21T22:55:22Z
"2,4-dimethyl-4,4a,5,9b-tetrahydroindeno[1,2-d][1,3]dioxine",CC1C2CC3=CC=CC=C3C2OC(O1)C,"InChI=1S/C13H16O2/c1-8-12-7-10-5-3-4-6-11(10)13(12)15-9(2)14-8/h3-6,8-9,12-13H,7H2,1-2H3",SHWFPOIJJLMZKA-UHFFFAOYSA-N,C13H16O2,204.26,PubChem,119674,Magnolia sp.,,,silver,Entrez_TaxID:3408,2026-05-21T22:55:22Z
"4,9-dimethyl-13-methylidene-3,8,15-trioxatetracyclo[10.3.0.02,4.07,9]pentadecan-14-one",CC12CCC3C(C4C(O4)(CCC1O2)C)OC(=O)C3=C,"InChI=1S/C15H20O4/c1-8-9-4-6-14(2)10(18-14)5-7-15(3)12(19-15)11(9)17-13(8)16/h9-12H,1,4-7H2,2-3H3",ZNURDDCKOFUOKI-UHFFFAOYSA-N,C15H20O4,264.32,PubChem,154933,Magnolia sp.,,,silver,Entrez_TaxID:3408,2026-05-21T22:55:22Z
"(9S,10S)-3,4,5,14,15,16-hexamethoxy-9,10-dimethyltricyclo[10.4.0.02,7]hexadeca-1(16),2,4,6,12,14-hexaen-9-ol",C[C@H]1CC2=CC(=C(C(=C2C3=C(C(=C(C=C3C[C@]1(C)O)OC)OC)OC)OC)OC)OC,"InChI=1S/C24H32O7/c1-13-9-14-10-16(26-3)20(28-5)22(30-7)18(14)19-15(12-24(13,2)25)11-17(27-4)21(29-6)23(19)31-8/h10-11,13,25H,9,12H2,1-8H3/t13-,24-/m0/s1",YEFOAORQXAOVJQ-RZFZLAGVSA-N,C24H32O7,432.5,PubChem,3001664,Magnolia sp.,,,silver,Entrez_TaxID:3408,2026-05-21T22:55:22Z
